S.S._Dolphin_Guard_Satellite_2.obj            -3.91485  -3.17439  11.7056
S.S._Dolphin_Guard_Satellite_3.obj            -3.9145   -3.19268  11.6739
S.S._Dolphin_Guard_Satellite_4.obj            -3.91485  -3.19245  11.3994
S.S._Dolphin_Guard_Satellite_5.obj            -3.91453  -3.1927   11.4423
S.S._Dolphin_Guard_Satellite_7.obj            -3.90635  -3.17981  11.081
S.S._Dolphin_Guard_Satellite_8.obj            -3.93223  -3.23409  10.7885
S.S._Dolphin_Guard_Satellite_lights.obj       -3.91675  -3.99844  10.9539
S.S._Dolphin_Interstellar_Radio.obj           4.00211   -3.51205  11.182
S.S._Dolphin_Ionium_Jet_1.obj                 -3.4468   -0.186234 5.61789
S.S._Dolphin_Ionium_jet_2.obj                 3.56768   -0.108827 5.70173
S.S._Dolphin_Libra.obj                        2.66657   -1.33481  8.91155
S.S._Dolphin_Libra_base.obj                   2.47406   -1.25996  8.83775
S.S._Dolphin_Main_Engine_Part_3.obj           0.083843  0.034512  1.44267
S.S._Dolphin_Main_Engine_Part_4.obj           0.080997  -0.161482 1.76195
S.S._Dolphin_Main_Engine_Part_5.obj           0.031664  -0.151493 2.43777
S.S._Dolphin_Omega_Stablizer.obj              -2.58859  -0.112914 1.47048
S.S._Dolphin_outer_lights.obj                 0.177385  -2.21048  8.14521
S.S._Dolphin_outer_lights_2.obj               0.00387   2.01486   4.88658
S.S._Dolphin_part.000.obj                     0.090486  -0.192662 10.3766
S.S._Dolphin_part.001.obj                     0.085498  -0.192676 6.33533
S.S._Dolphin_part.002.obj                     0.085502  -2.63174  8.67234
S.S._Dolphin_part.003.obj                     0.161402  -1.1915   8.56607
S.S._Dolphin_part.004.obj                     -0.011438 0.923499  6.89466
S.S._Dolphin_part.005.obj                     0.083407  -0.780923 5.5957
S.S._Dolphin_part.006.obj                     0.085556  -2.39794  5.96863
S.S._Dolphin_part.007.obj                     0.086931  -2.83009  6.05465
S.S._Dolphin_part.008.obj                     0.085498  -2.86317  4.99705
S.S._Dolphin_part.009.obj                     1.35971   -1.6569   1.78973
S.S._Dolphin_part.010.obj                     0.483574  0.706013  1.93044
S.S._Dolphin_part.011.obj                     0.082105  -2.51918  8.9313
S.S._Dolphin_part.012.obj                     0.042499  -0.066397 8.20462
S.S._Dolphin_part.013.obj                     0.113061  1.07935   7.16823
S.S._Dolphin_part.014.obj                     0.085426  -0.939078 5.70523
S.S._Dolphin_part.015.obj                     0.085602  -1.29274  6.22932
S.S._Dolphin_part.016.obj                     0.085499  -0.26895  3.35863
S.S._Dolphin_part.017.obj                     0.028481  -3.1514   7.57217
S.S._Dolphin_part.018.obj                     0.082422  -3.21192  5.99778
S.S._Dolphin_part.019.obj                     0.085544  -2.5733   3.32518
S.S._Dolphin_part.020.obj                     0.06099   -2.69352  8.76772
S.S._Dolphin_part.021.obj                     0.085474  -2.40593  8.62013
S.S._Dolphin_part.022.obj                     0.085378  -2.14867  8.60982
S.S._Dolphin_part.023.obj                     0.085503  -2.3504   6.68332
S.S._Dolphin_part.024.obj                     0.096311  -0.120761 7.73684
S.S._Dolphin_part.025.obj                     0.085498  -1.79976  6.46221
S.S._Dolphin_part.026.obj                     0.172197  -0.081782 5.21085
S.S._Dolphin_part.027.obj                     0.014084  -0.250755 5.31943
S.S._Dolphin_part.028.obj                     0.026604  0.196026  7.72869
S.S._Dolphin_part.029.obj                     0.126432  -1.23572  6.94668
S.S._Dolphin_part.030.obj                     -2.77756  -0.198112 7.0066
S.S._Dolphin_part.031.obj                     2.94945   -0.193286 7.42444
S.S._Dolphin_part.032.obj                     0.085498  -0.244802 5.83188
S.S._Dolphin_part.033.obj                     0.145509  -1.9218   7.99139
S.S._Dolphin_part.034.obj                     0.008897  -0.919597 8.3284
S.S._Dolphin_part.035.obj                     1.58547   -0.192676 6.92256
S.S._Dolphin_part.036.obj                     -4.66996  3.97305   11.5459
S.S._Dolphin_part.037.obj                     -3.00311  0.797293  11.5468
S.S._Dolphin_part.038.obj                     -3.16001  1.87582   8.63949
S.S._Dolphin_part.039.obj                     -3.83532  2.38755   8.69453
S.S._Dolphin_Radiation_Canopy.obj             0.085473  -3.36656  8.95608
S.S._Dolphin_Radiation_Canopy_2.obj           0.085522  -2.75966  8.74354
S.S._Dolphin_Sagittarius.obj                  -2.48523  -1.31329  8.92481
S.S._Dolphin_Sagittarius_base.obj             -2.24515  -1.21331  8.8427
S.S._Dolphin_Seat.obj                         0.085392  -2.73376  8.69735
S.S._Dolphin_Wheel.obj                        0.084878  -2.51382  9.07623
S.S._Dolphin_Whimsical_Radar_1.obj            0.074681  2.59191   8.71708
S.S._Dolphin_Whimsical_Radar_2.obj            0.086235  2.67867   9.10046
S.S._Dolphin_Whimsical_Radar_3.obj            0.085498  2.65581   9.10372
S.S._Dolphin_Whimsical_Radar_4.obj            0.085498  2.82381   9.17126
S.S._Dolphin_Whimsical_Radar_5.obj            0.046457  3.46683   9.41958
S_S__Dolphin_Main_Engine_Part_1.obj           0.063166  -0.028564 1.82642
S_S__Dolphin_Main_Engine_Part_2.obj           0.088415  0.005242  1.57966
S_S__Dolphin_Main_Engine_Part_6.obj           -0.957524 -0.577419 1.07655
S_S__Dolphin_Main_Engine_Part_7.obj           0.089675  -1.16234  1.12092
S_S__Dolphin_Main_Engine_Part_8.obj           1.09392   -0.564492 1.08386
S_S__Dolphin_Main_Engine_Part_9.obj           1.10776   0.609525  1.11241
S_S__Dolphin_Main_Engine_Part_10.obj          0.089675  1.1939    1.10534
S_S__Dolphin_Main_Engine_Part_11.obj          -0.957353 0.599084  1.10931
